filename,char,codepoint_hex,codepoint_dec
U+4E88.png,予,U+4E88,20104
U+4E89.png,争,U+4E89,20105
U+4E8B.png,事,U+4E8B,20107
U+4E8C.png,二,U+4E8C,20108
U+4E8D.png,亍,U+4E8D,20109
U+4E8E.png,于,U+4E8E,20110
U+4E8F.png,亏,U+4E8F,20111
U+4E91.png,云,U+4E91,20113
U+4E92.png,互,U+4E92,20114
U+4E93.png,亓,U+4E93,20115
U+4E94.png,五,U+4E94,20116
U+4E95.png,井,U+4E95,20117
U+4E98.png,亘,U+4E98,20120
U+4E9A.png,亚,U+4E9A,20122
U+4E9B.png,些,U+4E9B,20123
U+4E9F.png,亟,U+4E9F,20127
U+4EA0.png,亠,U+4EA0,20128
U+4EA1.png,亡,U+4EA1,20129
U+4EA2.png,亢,U+4EA2,20130
U+4EA4.png,交,U+4EA4,20132
U+4EA5.png,亥,U+4EA5,20133
U+4EA6.png,亦,U+4EA6,20134
U+4EA7.png,产,U+4EA7,20135
U+4EA8.png,亨,U+4EA8,20136
U+4EA9.png,亩,U+4EA9,20137
U+4EAB.png,享,U+4EAB,20139
U+4EAC.png,京,U+4EAC,20140
U+4EAD.png,亭,U+4EAD,20141
U+4EAE.png,亮,U+4EAE,20142
U+4EB2.png,亲,U+4EB2,20146
U+4EB3.png,亳,U+4EB3,20147
U+4EB5.png,亵,U+4EB5,20149
U+4EBA.png,人,U+4EBA,20154
U+4EBB.png,亻,U+4EBB,20155
U+4EBF.png,亿,U+4EBF,20159
U+4EC0.png,什,U+4EC0,20160
U+4EC1.png,仁,U+4EC1,20161
U+4EC2.png,仂,U+4EC2,20162
U+4EC3.png,仃,U+4EC3,20163
U+4EC4.png,仄,U+4EC4,20164
U+4EC5.png,仅,U+4EC5,20165
U+4EC6.png,仆,U+4EC6,20166
U+4EC7.png,仇,U+4EC7,20167
U+4EC9.png,仉,U+4EC9,20169
U+4ECA.png,今,U+4ECA,20170
U+4ECB.png,介,U+4ECB,20171
U+4ECD.png,仍,U+4ECD,20173
U+4ECE.png,从,U+4ECE,20174
U+4ED1.png,仑,U+4ED1,20177
U+4ED3.png,仓,U+4ED3,20179
U+4ED4.png,仔,U+4ED4,20180
U+4ED5.png,仕,U+4ED5,20181
U+4ED6.png,他,U+4ED6,20182
U+4ED7.png,仗,U+4ED7,20183
U+4ED8.png,付,U+4ED8,20184
U+4ED9.png,仙,U+4ED9,20185
U+4EDD.png,仝,U+4EDD,20189
U+4EDE.png,仞,U+4EDE,20190
U+4EDF.png,仟,U+4EDF,20191
U+4EE1.png,仡,U+4EE1,20193
U+4EE3.png,代,U+4EE3,20195
U+4EE4.png,令,U+4EE4,20196
U+4EE5.png,以,U+4EE5,20197
U+4EE8.png,仨,U+4EE8,20200
U+4EEA.png,仪,U+4EEA,20202
U+4EEB.png,仫,U+4EEB,20203
U+4EEC.png,们,U+4EEC,20204
U+4EF0.png,仰,U+4EF0,20208
U+4EF2.png,仲,U+4EF2,20210
U+4EF3.png,仳,U+4EF3,20211
U+4EF5.png,仵,U+4EF5,20213
U+4EF6.png,件,U+4EF6,20214
U+4EF7.png,价,U+4EF7,20215
U+4EFB.png,任,U+4EFB,20219
U+4EFD.png,份,U+4EFD,20221
U+4EFF.png,仿,U+4EFF,20223
U+4F01.png,企,U+4F01,20225
U+4F09.png,伉,U+4F09,20233
U+4F0A.png,伊,U+4F0A,20234
U+4F0D.png,伍,U+4F0D,20237
U+4F0E.png,伎,U+4F0E,20238
U+4F0F.png,伏,U+4F0F,20239
U+4F10.png,伐,U+4F10,20240
U+4F11.png,休,U+4F11,20241
U+4F17.png,众,U+4F17,20247
U+4F18.png,优,U+4F18,20248
U+4F19.png,伙,U+4F19,20249
U+4F1A.png,会,U+4F1A,20250
U+4F1B.png,伛,U+4F1B,20251
U+4F1E.png,伞,U+4F1E,20254
U+4F1F.png,伟,U+4F1F,20255
U+4F20.png,传,U+4F20,20256
U+4F22.png,伢,U+4F22,20258
U+4F24.png,伤,U+4F24,20260
U+4F25.png,伥,U+4F25,20261
U+4F26.png,伦,U+4F26,20262
U+4F27.png,伧,U+4F27,20263
U+4F2A.png,伪,U+4F2A,20266
U+4F2B.png,伫,U+4F2B,20267
U+4F2F.png,伯,U+4F2F,20271
U+4F30.png,估,U+4F30,20272
U+4F32.png,伲,U+4F32,20274
U+4F34.png,伴,U+4F34,20276
U+4F36.png,伶,U+4F36,20278
U+4F38.png,伸,U+4F38,20280
U+4F3A.png,伺,U+4F3A,20282
U+4F3C.png,似,U+4F3C,20284
U+4F3D.png,伽,U+4F3D,20285
U+4F43.png,佃,U+4F43,20291
U+4F46.png,但,U+4F46,20294
U+4F4D.png,位,U+4F4D,20301
U+4F4E.png,低,U+4F4E,20302
U+4F4F.png,住,U+4F4F,20303
U+4F50.png,佐,U+4F50,20304
U+4F51.png,佑,U+4F51,20305
U+4F53.png,体,U+4F53,20307
U+4F55.png,何,U+4F55,20309
U+4F57.png,佗,U+4F57,20311
U+4F58.png,佘,U+4F58,20312
U+4F59.png,余,U+4F59,20313
U+4F5A.png,佚,U+4F5A,20314
U+4F5B.png,佛,U+4F5B,20315
U+4F5C.png,作,U+4F5C,20316
U+4F5D.png,佝,U+4F5D,20317
U+4F5E.png,佞,U+4F5E,20318
U+4F5F.png,佟,U+4F5F,20319
U+4F60.png,你,U+4F60,20320
U+4F63.png,佣,U+4F63,20323
U+4F64.png,佤,U+4F64,20324
U+4F65.png,佥,U+4F65,20325
U+4F67.png,佧,U+4F67,20327
U+4F69.png,佩,U+4F69,20329
U+4F6C.png,佬,U+4F6C,20332
U+4F6F.png,佯,U+4F6F,20335
U+4F70.png,佰,U+4F70,20336
U+4F73.png,佳,U+4F73,20339
U+4F74.png,佴,U+4F74,20340
U+4F76.png,佶,U+4F76,20342
U+4F7B.png,佻,U+4F7B,20347
U+4F7C.png,佼,U+4F7C,20348
U+4F7E.png,佾,U+4F7E,20350
U+4F7F.png,使,U+4F7F,20351
U+4F83.png,侃,U+4F83,20355
U+4F84.png,侄,U+4F84,20356
U+4F88.png,侈,U+4F88,20360
U+4F89.png,侉,U+4F89,20361
U+4F8B.png,例,U+4F8B,20363
U+4F8D.png,侍,U+4F8D,20365
U+4F8F.png,侏,U+4F8F,20367
U+4F91.png,侑,U+4F91,20369
U+4F94.png,侔,U+4F94,20372
U+4F97.png,侗,U+4F97,20375
U+4F9B.png,供,U+4F9B,20379
U+4F9D.png,依,U+4F9D,20381
U+4FA0.png,侠,U+4FA0,20384
U+4FA3.png,侣,U+4FA3,20387
U+4FA5.png,侥,U+4FA5,20389
U+4FA6.png,侦,U+4FA6,20390
U+4FA7.png,侧,U+4FA7,20391
U+4FA8.png,侨,U+4FA8,20392
U+4FA9.png,侩,U+4FA9,20393
U+4FAA.png,侪,U+4FAA,20394
U+4FAC.png,侬,U+4FAC,20396
U+4FAE.png,侮,U+4FAE,20398
U+4FAF.png,侯,U+4FAF,20399
U+4FB5.png,侵,U+4FB5,20405
U+4FBF.png,便,U+4FBF,20415
U+4FC3.png,促,U+4FC3,20419
U+4FC4.png,俄,U+4FC4,20420
U+4FC5.png,俅,U+4FC5,20421
U+4FCA.png,俊,U+4FCA,20426
U+4FCE.png,俎,U+4FCE,20430
U+4FCF.png,俏,U+4FCF,20431
U+4FD0.png,俐,U+4FD0,20432
U+4FD1.png,俑,U+4FD1,20433
U+4FD7.png,俗,U+4FD7,20439
U+4FD8.png,俘,U+4FD8,20440
U+4FDA.png,俚,U+4FDA,20442
U+4FDC.png,俜,U+4FDC,20444
U+4FDD.png,保,U+4FDD,20445
U+4FDE.png,俞,U+4FDE,20446
U+4FDF.png,俟,U+4FDF,20447
U+4FE1.png,信,U+4FE1,20449
U+4FE3.png,俣,U+4FE3,20451
U+4FE6.png,俦,U+4FE6,20454
U+4FE8.png,俨,U+4FE8,20456
U+4FE9.png,俩,U+4FE9,20457
U+4FEA.png,俪,U+4FEA,20458
U+4FED.png,俭,U+4FED,20461
U+4FEE.png,修,U+4FEE,20462
U+4FEF.png,俯,U+4FEF,20463
U+4FF1.png,俱,U+4FF1,20465
U+4FF3.png,俳,U+4FF3,20467
U+4FF8.png,俸,U+4FF8,20472
U+4FFA.png,俺,U+4FFA,20474
U+4FFE.png,俾,U+4FFE,20478
U+500C.png,倌,U+500C,20492
U+500D.png,倍,U+500D,20493
U+500F.png,倏,U+500F,20495
U+5012.png,倒,U+5012,20498
U+5014.png,倔,U+5014,20500
U+5018.png,倘,U+5018,20504
U+5019.png,候,U+5019,20505
U+501A.png,倚,U+501A,20506
U+501C.png,倜,U+501C,20508
U+501F.png,借,U+501F,20511
U+5021.png,倡,U+5021,20513
U+5025.png,倥,U+5025,20517
U+5026.png,倦,U+5026,20518
U+5028.png,倨,U+5028,20520
U+5029.png,倩,U+5029,20521
U+502A.png,倪,U+502A,20522
U+502C.png,倬,U+502C,20524
U+502D.png,倭,U+502D,20525
U+502E.png,倮,U+502E,20526
U+503A.png,债,U+503A,20538
U+503C.png,值,U+503C,20540
U+503E.png,倾,U+503E,20542
U+5043.png,偃,U+5043,20547
U+5047.png,假,U+5047,20551
U+5048.png,偈,U+5048,20552
U+504C.png,偌,U+504C,20556
U+504E.png,偎,U+504E,20558
U+504F.png,偏,U+504F,20559
U+5055.png,偕,U+5055,20565
U+505A.png,做,U+505A,20570
U+505C.png,停,U+505C,20572
U+5065.png,健,U+5065,20581
U+506C.png,偬,U+506C,20588
U+5076.png,偶,U+5076,20598
U+5077.png,偷,U+5077,20599
U+507B.png,偻,U+507B,20603
U+507E.png,偾,U+507E,20606
U+507F.png,偿,U+507F,20607
U+5080.png,傀,U+5080,20608
U+5085.png,傅,U+5085,20613
U+5088.png,傈,U+5088,20616
U+508D.png,傍,U+508D,20621
U+50A3.png,傣,U+50A3,20643
U+50A5.png,傥,U+50A5,20645
U+50A7.png,傧,U+50A7,20647
U+50A8.png,储,U+50A8,20648
U+50A9.png,傩,U+50A9,20649
U+50AC.png,催,U+50AC,20652
U+50B2.png,傲,U+50B2,20658
U+50BA.png,傺,U+50BA,20666
U+50BB.png,傻,U+50BB,20667
U+50CF.png,像,U+50CF,20687
U+50D6.png,僖,U+50D6,20694
U+50DA.png,僚,U+50DA,20698
U+50E6.png,僦,U+50E6,20710
U+50E7.png,僧,U+50E7,20711
U+50EC.png,僬,U+50EC,20716
U+50ED.png,僭,U+50ED,20717
U+50EE.png,僮,U+50EE,20718
U+50F3.png,僳,U+50F3,20723
U+50F5.png,僵,U+50F5,20725
U+50FB.png,僻,U+50FB,20731
U+5106.png,儆,U+5106,20742
U+5107.png,儇,U+5107,20743
U+510B.png,儋,U+510B,20747
U+5112.png,儒,U+5112,20754
U+5121.png,儡,U+5121,20769
U+513F.png,儿,U+513F,20799
U+5140.png,兀,U+5140,20800
U+5141.png,允,U+5141,20801
U+5143.png,元,U+5143,20803
U+5144.png,兄,U+5144,20804
U+5145.png,充,U+5145,20805
U+5146.png,兆,U+5146,20806
U+5148.png,先,U+5148,20808
U+5149.png,光,U+5149,20809
U+514B.png,克,U+514B,20811
U+514D.png,免,U+514D,20813
U+5151.png,兑,U+5151,20817
U+5154.png,兔,U+5154,20820
U+5155.png,兕,U+5155,20821
U+5156.png,兖,U+5156,20822
U+515A.png,党,U+515A,20826
U+515C.png,兜,U+515C,20828
U+5162.png,兢,U+5162,20834
U+5165.png,入,U+5165,20837
U+5168.png,全,U+5168,20840
U+516B.png,八,U+516B,20843
U+516C.png,公,U+516C,20844
U+516D.png,六,U+516D,20845
U+516E.png,兮,U+516E,20846
U+5170.png,兰,U+5170,20848
U+5171.png,共,U+5171,20849
U+5173.png,关,U+5173,20851
U+5174.png,兴,U+5174,20852
U+5175.png,兵,U+5175,20853
U+5176.png,其,U+5176,20854
U+5177.png,具,U+5177,20855
U+5178.png,典,U+5178,20856
U+5179.png,兹,U+5179,20857
U+517B.png,养,U+517B,20859
U+517C.png,兼,U+517C,20860
U+517D.png,兽,U+517D,20861
U+5180.png,冀,U+5180,20864
U+5181.png,冁,U+5181,20865
U+5182.png,冂,U+5182,20866
U+5185.png,内,U+5185,20869
U+5188.png,冈,U+5188,20872
U+5189.png,冉,U+5189,20873
U+518C.png,册,U+518C,20876
U+518D.png,再,U+518D,20877
U+5192.png,冒,U+5192,20882
U+5195.png,冕,U+5195,20885
U+5196.png,冖,U+5196,20886
U+5197.png,冗,U+5197,20887
U+5199.png,写,U+5199,20889
U+519B.png,军,U+519B,20891
U+519C.png,农,U+519C,20892
U+51A0.png,冠,U+51A0,20896
U+51A2.png,冢,U+51A2,20898
U+51A4.png,冤,U+51A4,20900
U+51A5.png,冥,U+51A5,20901
U+51AB.png,冫,U+51AB,20907
U+51AC.png,冬,U+51AC,20908
U+51AF.png,冯,U+51AF,20911
U+51B0.png,冰,U+51B0,20912
U+51B1.png,冱,U+51B1,20913
U+51B2.png,冲,U+51B2,20914
U+51B3.png,决,U+51B3,20915
U+51B5.png,况,U+51B5,20917
U+51B6.png,冶,U+51B6,20918
U+51B7.png,冷,U+51B7,20919
U+51BB.png,冻,U+51BB,20923
U+51BC.png,冼,U+51BC,20924
U+51BD.png,冽,U+51BD,20925
U+51C0.png,净,U+51C0,20928
U+51C4.png,凄,U+51C4,20932
U+51C6.png,准,U+51C6,20934
U+51C7.png,凇,U+51C7,20935
U+51C9.png,凉,U+51C9,20937
U+51CB.png,凋,U+51CB,20939
U+51CC.png,凌,U+51CC,20940
U+51CF.png,减,U+51CF,20943
U+51D1.png,凑,U+51D1,20945
U+51DB.png,凛,U+51DB,20955
U+51DD.png,凝,U+51DD,20957
U+51E0.png,几,U+51E0,20960
U+51E1.png,凡,U+51E1,20961
U+51E4.png,凤,U+51E4,20964
U+51EB.png,凫,U+51EB,20971
U+51ED.png,凭,U+51ED,20973
U+51EF.png,凯,U+51EF,20975
U+51F0.png,凰,U+51F0,20976
U+51F3.png,凳,U+51F3,20979
U+51F5.png,凵,U+51F5,20981
U+51F6.png,凶,U+51F6,20982
U+51F8.png,凸,U+51F8,20984
U+51F9.png,凹,U+51F9,20985
U+51FA.png,出,U+51FA,20986
U+51FB.png,击,U+51FB,20987
U+51FC.png,凼,U+51FC,20988
U+51FD.png,函,U+51FD,20989
U+51FF.png,凿,U+51FF,20991
U+5200.png,刀,U+5200,20992
U+5201.png,刁,U+5201,20993
U+5202.png,刂,U+5202,20994
U+5203.png,刃,U+5203,20995
U+5206.png,分,U+5206,20998
U+5207.png,切,U+5207,20999
U+5208.png,刈,U+5208,21000
U+520A.png,刊,U+520A,21002
U+520D.png,刍,U+520D,21005
U+520E.png,刎,U+520E,21006
U+5211.png,刑,U+5211,21009
U+5212.png,划,U+5212,21010
U+5216.png,刖,U+5216,21014
U+5217.png,列,U+5217,21015
U+5218.png,刘,U+5218,21016
U+5219.png,则,U+5219,21017
U+521A.png,刚,U+521A,21018
U+521B.png,创,U+521B,21019
U+521D.png,初,U+521D,21021
U+5220.png,删,U+5220,21024
U+5224.png,判,U+5224,21028
U+5228.png,刨,U+5228,21032
U+5229.png,利,U+5229,21033
U+522B.png,别,U+522B,21035
U+522D.png,刭,U+522D,21037
U+522E.png,刮,U+522E,21038
U+5230.png,到,U+5230,21040
U+5233.png,刳,U+5233,21043
U+5236.png,制,U+5236,21046
U+5237.png,刷,U+5237,21047
U+5238.png,券,U+5238,21048
U+5239.png,刹,U+5239,21049
U+523A.png,刺,U+523A,21050
U+523B.png,刻,U+523B,21051
U+523D.png,刽,U+523D,21053
U+523F.png,刿,U+523F,21055
U+5240.png,剀,U+5240,21056
U+5241.png,剁,U+5241,21057
U+5242.png,剂,U+5242,21058
U+5243.png,剃,U+5243,21059
U+524A.png,削,U+524A,21066
U+524C.png,剌,U+524C,21068
U+524D.png,前,U+524D,21069
U+5250.png,剐,U+5250,21072
U+5251.png,剑,U+5251,21073
U+5254.png,剔,U+5254,21076
U+5256.png,剖,U+5256,21078
U+525C.png,剜,U+525C,21084
U+525E.png,剞,U+525E,21086
U+5261.png,剡,U+5261,21089
U+5265.png,剥,U+5265,21093
U+5267.png,剧,U+5267,21095
U+5269.png,剩,U+5269,21097
U+526A.png,剪,U+526A,21098
U+526F.png,副,U+526F,21103
U+5272.png,割,U+5272,21106
U+527D.png,剽,U+527D,21117
U+527F.png,剿,U+527F,21119
U+5281.png,劁,U+5281,21121
U+5282.png,劂,U+5282,21122
U+5288.png,劈,U+5288,21128
U+5290.png,劐,U+5290,21136
U+5293.png,劓,U+5293,21139
U+529B.png,力,U+529B,21147
U+529D.png,劝,U+529D,21149
U+529E.png,办,U+529E,21150
U+529F.png,功,U+529F,21151
U+52A0.png,加,U+52A0,21152
U+52A1.png,务,U+52A1,21153
U+52A2.png,劢,U+52A2,21154
U+52A3.png,劣,U+52A3,21155
U+52A8.png,动,U+52A8,21160
U+52A9.png,助,U+52A9,21161
U+52AA.png,努,U+52AA,21162
U+52AB.png,劫,U+52AB,21163
U+52AC.png,劬,U+52AC,21164
U+52AD.png,劭,U+52AD,21165
U+52B1.png,励,U+52B1,21169
U+52B2.png,劲,U+52B2,21170
U+52B3.png,劳,U+52B3,21171
U+52BE.png,劾,U+52BE,21182
U+52BF.png,势,U+52BF,21183
U+52C3.png,勃,U+52C3,21187
U+52C7.png,勇,U+52C7,21191
U+52C9.png,勉,U+52C9,21193
U+52CB.png,勋,U+52CB,21195
U+52D0.png,勐,U+52D0,21200
U+52D2.png,勒,U+52D2,21202
U+52D6.png,勖,U+52D6,21206
U+52D8.png,勘,U+52D8,21208
U+52DF.png,募,U+52DF,21215
U+52E4.png,勤,U+52E4,21220
U+52F0.png,勰,U+52F0,21232
U+52F9.png,勹,U+52F9,21241
U+52FA.png,勺,U+52FA,21242
U+52FE.png,勾,U+52FE,21246
U+52FF.png,勿,U+52FF,21247
U+5300.png,匀,U+5300,21248
U+5305.png,包,U+5305,21253
U+5306.png,匆,U+5306,21254
U+5308.png,匈,U+5308,21256
U+530D.png,匍,U+530D,21261
U+530F.png,匏,U+530F,21263
U+5310.png,匐,U+5310,21264
U+5315.png,匕,U+5315,21269
U+5316.png,化,U+5316,21270
U+5317.png,北,U+5317,21271
U+5319.png,匙,U+5319,21273
U+531A.png,匚,U+531A,21274
U+531D.png,匝,U+531D,21277
U+5320.png,匠,U+5320,21280
U+5321.png,匡,U+5321,21281
U+5323.png,匣,U+5323,21283
U+5326.png,匦,U+5326,21286
U+532A.png,匪,U+532A,21290
U+532E.png,匮,U+532E,21294
U+5339.png,匹,U+5339,21305
U+533A.png,区,U+533A,21306
U+533B.png,医,U+533B,21307
U+533E.png,匾,U+533E,21310
U+533F.png,匿,U+533F,21311
U+5341.png,十,U+5341,21313
U+5343.png,千,U+5343,21315
U+5345.png,卅,U+5345,21317
U+5347.png,升,U+5347,21319
U+5348.png,午,U+5348,21320
U+5349.png,卉,U+5349,21321
U+534A.png,半,U+534A,21322
U+534E.png,华,U+534E,21326
U+534F.png,协,U+534F,21327
U+5351.png,卑,U+5351,21329
U+5352.png,卒,U+5352,21330
U+5353.png,卓,U+5353,21331
U+5355.png,单,U+5355,21333
U+5356.png,卖,U+5356,21334
U+5357.png,南,U+5357,21335
U+535A.png,博,U+535A,21338
U+535C.png,卜,U+535C,21340
U+535E.png,卞,U+535E,21342
U+535F.png,卟,U+535F,21343
U+5360.png,占,U+5360,21344
U+5361.png,卡,U+5361,21345
U+5362.png,卢,U+5362,21346
U+5363.png,卣,U+5363,21347
U+5364.png,卤,U+5364,21348
U+5366.png,卦,U+5366,21350
U+5367.png,卧,U+5367,21351
U+5369.png,卩,U+5369,21353
U+536B.png,卫,U+536B,21355
U+536E.png,卮,U+536E,21358
U+536F.png,卯,U+536F,21359
U+5370.png,印,U+5370,21360
U+5371.png,危,U+5371,21361
U+5373.png,即,U+5373,21363
U+5374.png,却,U+5374,21364
U+5375.png,卵,U+5375,21365
U+5377.png,卷,U+5377,21367
U+5378.png,卸,U+5378,21368
U+537A.png,卺,U+537A,21370
U+537F.png,卿,U+537F,21375
U+5382.png,厂,U+5382,21378
U+5384.png,厄,U+5384,21380
U+5385.png,厅,U+5385,21381
U+5386.png,历,U+5386,21382
U+5389.png,厉,U+5389,21385
U+538B.png,压,U+538B,21387
U+538C.png,厌,U+538C,21388
U+538D.png,厍,U+538D,21389
U+5395.png,厕,U+5395,21397
U+5398.png,厘,U+5398,21400
U+539A.png,厚,U+539A,21402
U+539D.png,厝,U+539D,21405
U+539F.png,原,U+539F,21407
U+53A2.png,厢,U+53A2,21410
U+53A3.png,厣,U+53A3,21411
U+53A5.png,厥,U+53A5,21413
U+53A6.png,厦,U+53A6,21414
U+53A8.png,厨,U+53A8,21416
U+53A9.png,厩,U+53A9,21417
U+53AE.png,厮,U+53AE,21422
U+53B6.png,厶,U+53B6,21430
U+53BB.png,去,U+53BB,21435
U+53BF.png,县,U+53BF,21439
U+53C1.png,叁,U+53C1,21441
U+53C2.png,参,U+53C2,21442
U+53C8.png,又,U+53C8,21448
U+53C9.png,叉,U+53C9,21449
U+53CA.png,及,U+53CA,21450
U+53CB.png,友,U+53CB,21451
U+53CC.png,双,U+53CC,21452
U+53CD.png,反,U+53CD,21453
U+53D1.png,发,U+53D1,21457
U+53D4.png,叔,U+53D4,21460
U+53D6.png,取,U+53D6,21462
U+53D7.png,受,U+53D7,21463
U+53D8.png,变,U+53D8,21464
U+53D9.png,叙,U+53D9,21465
U+53DB.png,叛,U+53DB,21467
U+53DF.png,叟,U+53DF,21471
U+53E0.png,叠,U+53E0,21472
U+53E3.png,口,U+53E3,21475
U+53E4.png,古,U+53E4,21476
U+53E5.png,句,U+53E5,21477
U+53E6.png,另,U+53E6,21478
U+53E8.png,叨,U+53E8,21480
U+53E9.png,叩,U+53E9,21481
U+53EA.png,只,U+53EA,21482
U+53EB.png,叫,U+53EB,21483
U+53EC.png,召,U+53EC,21484
U+53ED.png,叭,U+53ED,21485
U+53EE.png,叮,U+53EE,21486
U+53EF.png,可,U+53EF,21487
U+53F0.png,台,U+53F0,21488
U+53F1.png,叱,U+53F1,21489
U+53F2.png,史,U+53F2,21490
U+53F3.png,右,U+53F3,21491
U+53F5.png,叵,U+53F5,21493
U+53F6.png,叶,U+53F6,21494
U+53F7.png,号,U+53F7,21495
U+53F8.png,司,U+53F8,21496
U+53F9.png,叹,U+53F9,21497
U+53FB.png,叻,U+53FB,21499
U+53FC.png,叼,U+53FC,21500
U+53FD.png,叽,U+53FD,21501
U+5401.png,吁,U+5401,21505
U+5403.png,吃,U+5403,21507
U+5404.png,各,U+5404,21508
U+5406.png,吆,U+5406,21510
U+5408.png,合,U+5408,21512
U+5409.png,吉,U+5409,21513
U+540A.png,吊,U+540A,21514
U+540C.png,同,U+540C,21516
U+540D.png,名,U+540D,21517
U+540E.png,后,U+540E,21518
U+540F.png,吏,U+540F,21519
U+5410.png,吐,U+5410,21520
U+5411.png,向,U+5411,21521
U+5412.png,吒,U+5412,21522
U+5413.png,吓,U+5413,21523
U+5415.png,吕,U+5415,21525
U+5416.png,吖,U+5416,21526
U+5417.png,吗,U+5417,21527
